fid,DN,Area km2
355,"14",0.001
356,"218",0.001
357,"14",0.001
358,"243",0.001
359,"218",0.002
360,"243",0.001
361,"14",0.001
362,"172",0.001
363,"243",0.002
364,"243",0.005
365,"243",0.001
366,"14",0.001
367,"14",0.001
368,"243",0.002
369,"172",0.001
370,"243",0.001
371,"14",0.001
372,"243",0.001
373,"243",0.001
374,"172",0.001
375,"243",0.001
376,"218",0.001
377,"243",0.001
378,"14",0.001
379,"218",0.006
380,"243",0.007
381,"243",0.002
382,"218",0.058
383,"243",0.001
384,"243",0.006
385,"172",0.042
386,"172",0.001
387,"172",0.001
388,"218",0.001
389,"243",0.001
390,"14",0.001
391,"243",0.001
392,"243",0.006
393,"243",0.001
394,"14",0.001
395,"218",0.001
396,"14",0.001
397,"14",0.006
398,"14",0.002
399,"218",0.001
400,"243",0.008
401,"172",0.001
402,"218",0.008
403,"243",0.001
404,"14",0.001
405,"218",0.009
406,"14",0.001
407,"14",0.001
408,"243",0.002
409,"243",0.001
410,"218",0.001
411,"172",0.001
412,"243",0.002
413,"14",0.006
414,"218",0.005
415,"14",0.030
416,"243",0.003
417,"243",0.002
418,"243",0.001
419,"243",0.010
420,"243",0.004
421,"218",0.001
422,"14",0.001
423,"243",0.001
424,"243",0.001
425,"14",0.001
426,"243",0.001
427,"218",0.015
428,"243",0.001
429,"243",0.001
430,"243",0.001
431,"218",0.001
432,"243",0.001
433,"243",0.001
434,"243",0.004
435,"243",0.001
436,"14",0.001
437,"243",0.003
438,"243",0.001
439,"218",0.001
440,"243",0.001
441,"243",0.002
442,"14",0.002
443,"14",0.001
444,"14",0.003
445,"243",0.001
446,"14",0.009
447,"172",0.001
448,"218",0.002
449,"243",0.001
450,"243",0.001
451,"243",0.001
452,"14",0.001
453,"14",0.001
454,"172",0.003
455,"243",0.001
456,"218",0.001
457,"243",0.001
458,"243",0.001
459,"14",0.001
460,"243",0.001
461,"172",0.020
462,"243",0.011
463,"218",0.014
464,"218",0.007
465,"243",0.005
466,"14",0.007
467,"77",0.616
468,"243",0.004
469,"218",0.004
470,"243",0.001
471,"14",0.020
472,"218",0.001
473,"243",0.001
474,"243",0.001
475,"218",0.014
476,"243",0.001
477,"14",0.001
478,"218",0.001
479,"243",0.001
480,"172",0.001
481,"172",0.001
482,"243",0.001
483,"243",0.001
484,"243",0.001
485,"218",0.001
486,"243",0.001
487,"218",0.001
488,"14",0.001
489,"218",0.003
490,"243",0.001
491,"243",0.002
492,"243",0.016
493,"172",0.001
494,"243",0.001
495,"243",0.001
496,"218",0.003
497,"243",0.001
498,"243",0.001
499,"243",0.026
500,"14",0.005
501,"218",0.002
502,"172",0.018
503,"243",0.002
504,"218",0.001
505,"243",0.001
506,"14",0.001
507,"243",0.001
508,"14",0.001
509,"218",0.014
510,"243",0.001
511,"243",0.002
512,"14",0.061
513,"243",0.003
514,"218",0.001
515,"243",0.001
516,"243",0.001
517,"243",0.004
518,"14",0.001
519,"243",0.001
520,"218",0.001
521,"243",0.001
522,"218",0.001
523,"14",0.001
524,"243",0.001
525,"14",0.001
526,"243",0.001
527,"14",0.001
528,"243",0.001
529,"243",0.003
530,"243",0.001
531,"243",0.001
532,"14",0.001
533,"243",0.001
534,"14",0.001
535,"243",0.001
536,"243",0.003
537,"243",0.001
538,"218",0.001
539,"218",0.001
540,"243",0.003
541,"243",0.001
542,"243",0.001
543,"243",0.001
544,"243",0.004
545,"218",0.004
546,"14",0.001
547,"243",0.001
548,"243",0.003
549,"243",0.001
550,"218",0.001
551,"243",0.001
552,"218",0.002
553,"14",0.001
554,"14",0.001
555,"243",0.001
556,"218",0.017
557,"218",0.002
558,"218",0.009
559,"243",0.001
560,"14",0.004
561,"243",0.001
562,"243",0.001
563,"172",0.001
564,"243",0.001
565,"218",0.001
566,"243",0.003
567,"14",0.001
568,"243",0.001
569,"243",0.001
570,"243",0.001
571,"14",0.001
572,"243",0.001
573,"14",0.001
574,"243",0.001
575,"14",0.001
576,"172",0.004
577,"14",0.003
578,"218",0.003
579,"243",0.001
580,"14",0.048
581,"243",0.001
582,"218",0.001
583,"172",0.007
584,"243",0.001
585,"14",0.001
586,"243",0.001
587,"172",0.003
588,"77",0.001
589,"218",0.001
590,"243",0.001
591,"243",0.001
592,"243",0.001
593,"243",0.001
594,"243",0.001
595,"243",0.012
596,"218",0.001
597,"218",0.001
598,"172",0.002
599,"14",0.001
600,"218",0.001
601,"243",0.001
602,"243",0.001
603,"218",0.001
604,"218",0.004
605,"218",0.001
606,"243",0.001
607,"243",0.001
608,"14",0.001
609,"14",0.009
610,"218",0.011
611,"172",0.001
612,"243",0.001
613,"172",0.001
614,"243",0.001
615,"243",0.001
616,"243",0.012
617,"218",0.005
618,"218",0.004
619,"14",0.001
620,"243",0.001
621,"172",0.001
622,"243",0.001
623,"243",0.001
624,"243",0.001
625,"243",0.001
626,"14",0.017
627,"243",0.001
628,"243",0.001
629,"218",0.003
630,"14",0.023
631,"243",0.002
632,"218",0.001
633,"243",0.001
634,"218",0.004
635,"218",0.001
636,"218",0.004
637,"243",0.001
638,"218",0.001
639,"172",0.001
640,"172",0.004
641,"218",0.001
642,"243",0.001
643,"243",0.002
644,"218",0.001
645,"14",0.621
646,"243",0.001
647,"218",0.001
648,"243",0.001
649,"218",0.001
650,"14",0.001
651,"243",0.001
652,"243",0.001
653,"218",0.001
654,"243",0.001
655,"243",0.002
656,"172",0.001
657,"218",0.002
658,"218",0.001
659,"243",0.001
660,"243",0.001
661,"243",0.001
662,"14",0.001
663,"172",0.001
664,"243",0.001
665,"243",0.001
666,"243",0.008
667,"218",0.007
668,"172",0.006
669,"243",0.002
670,"172",0.001
671,"243",0.001
672,"14",0.013
673,"218",0.006
674,"172",0.020
675,"243",0.001
676,"218",0.003
677,"14",0.002
678,"218",0.017
679,"243",0.001
680,"14",0.001
681,"243",0.001
682,"14",0.001
683,"243",0.001
684,"243",0.001
685,"172",0.001
686,"243",0.003
687,"218",0.001
688,"243",0.006
689,"243",0.003
690,"14",0.001
691,"14",0.005
692,"243",0.001
693,"243",0.001
694,"243",0.011
695,"243",0.015
696,"243",0.001
697,"243",0.004
698,"172",0.001
699,"172",0.001
700,"218",0.001
701,"14",0.001
702,"172",0.014
703,"218",0.001
704,"218",0.001
705,"243",0.001
706,"243",0.008
707,"243",0.001
708,"243",0.002
709,"218",0.001
710,"243",0.001
711,"14",0.001
712,"243",0.001
713,"243",0.006
714,"243",0.002
715,"243",0.001
716,"243",0.001
717,"172",0.001
718,"243",0.003
719,"172",0.003
720,"243",0.004
721,"243",0.001
722,"243",0.001
723,"243",0.001
724,"243",0.001
725,"243",0.001
726,"218",0.001
727,"243",0.001
728,"14",0.001
729,"243",0.001
730,"172",0.056
731,"243",0.001
732,"218",0.001
733,"218",0.001
734,"14",0.001
735,"218",0.003
736,"14",0.002
737,"243",0.001
738,"243",0.001
739,"243",0.001
740,"218",0.009
741,"243",0.001
742,"243",0.001
743,"172",0.001
744,"243",0.004
745,"243",0.001
746,"218",0.001
747,"243",0.001
748,"218",0.001
749,"218",0.044
750,"218",0.006
751,"14",0.011
752,"243",0.002
753,"243",0.011
754,"14",0.015
755,"243",0.004
756,"218",0.283
757,"243",0.002
758,"243",0.005
759,"172",0.001
760,"243",0.001
761,"218",0.002
762,"14",0.001
763,"243",0.001
764,"243",0.001
765,"218",0.009
766,"243",0.002
767,"172",0.001
768,"218",0.001
769,"243",0.001
770,"243",0.001
771,"243",0.001
772,"14",0.001
773,"218",0.001
774,"243",0.001
775,"243",0.004
776,"172",0.001
777,"172",0.001
778,"243",0.001
779,"243",0.002
780,"243",0.001
781,"243",0.002
782,"14",0.001
783,"172",0.001
784,"243",0.009
785,"218",0.027
786,"243",0.001
787,"243",0.001
788,"243",0.001
789,"14",0.001
790,"218",0.001
791,"172",0.005
792,"243",0.001
793,"218",0.001
794,"243",0.001
795,"218",0.001
796,"14",0.001
797,"14",0.001
798,"218",0.001
799,"218",0.001
800,"243",0.001
801,"218",0.001
802,"243",0.011
803,"243",0.001
804,"243",0.001
805,"243",0.001
806,"218",0.001
807,"243",0.001
808,"243",0.001
809,"218",0.001
810,"243",0.008
811,"243",0.001
812,"172",0.001
813,"243",0.001
814,"172",0.001
815,"243",0.001
816,"14",0.001
817,"243",0.001
818,"14",0.176
819,"172",0.001
820,"218",0.002
821,"243",0.001
822,"243",0.001
823,"218",0.001
824,"14",0.001
825,"218",0.001
826,"172",0.001
827,"243",0.001
828,"243",0.001
829,"218",0.001
830,"172",0.001
831,"14",0.001
832,"218",0.050
833,"218",0.016
834,"218",0.007
835,"243",0.009
836,"243",0.011
837,"218",0.001
838,"218",0.001
839,"243",0.001
840,"172",0.020
841,"14",0.001
842,"243",0.001
843,"218",0.005
844,"243",0.001
845,"14",0.001
846,"14",0.031
847,"243",0.001
848,"172",0.001
849,"243",0.001
850,"218",0.008
851,"243",0.001
852,"243",0.001
853,"14",0.028
854,"172",0.001
855,"172",0.015
856,"243",0.001
857,"243",0.001
858,"14",0.001
859,"218",0.001
860,"243",0.002
861,"243",0.001
862,"243",0.001
863,"243",0.001
864,"243",0.001
865,"14",0.001
866,"243",0.001
867,"243",0.002
868,"243",0.004
869,"243",0.001
870,"243",0.002
871,"172",0.001
872,"172",0.006
873,"218",0.001
874,"243",0.001
875,"243",0.001
876,"14",0.001
877,"243",0.001
878,"243",0.001
879,"14",0.001
880,"172",0.003
881,"243",0.001
882,"218",0.001
883,"243",0.003
884,"243",0.001
885,"243",0.004
886,"172",0.002
887,"243",0.003
888,"243",0.001
889,"243",0.001
890,"243",0.001
891,"243",0.001
892,"14",0.001
893,"243",0.001
894,"218",0.001
895,"243",0.001
896,"243",0.001
897,"14",0.001
898,"218",0.039
899,"243",0.005
900,"243",0.004
901,"172",0.001
902,"243",0.005
903,"243",0.001
904,"243",0.001
905,"243",0.001
906,"243",0.002
907,"14",0.007
908,"243",0.001
909,"243",0.001
910,"172",0.001
911,"243",0.002
912,"243",0.001
913,"243",0.001
914,"218",0.001
915,"243",0.003
916,"218",0.001
917,"243",0.001
918,"243",0.001
919,"243",0.001
920,"172",0.004
921,"218",0.002
922,"243",0.002
923,"218",0.001
924,"243",0.001
925,"14",0.001
926,"172",0.001
927,"218",0.001
928,"243",0.001
929,"243",0.001
930,"243",0.001
931,"243",0.001
932,"14",0.001
933,"243",0.001
934,"243",0.001
935,"243",0.001
936,"243",0.001
937,"172",0.004
938,"243",0.001
939,"243",0.001
940,"243",0.001
941,"218",0.001
942,"243",0.001
943,"218",0.041
944,"243",0.001
945,"243",0.001
946,"218",0.001
947,"243",0.001
948,"243",0.001
949,"14",0.001
950,"172",0.043
951,"218",0.016
952,"243",0.001
953,"172",0.001
954,"243",0.001
955,"243",0.001
956,"14",0.001
957,"243",0.001
958,"218",0.001
959,"172",0.036
960,"243",0.001
961,"243",0.003
962,"243",0.001
963,"172",0.014
964,"14",0.030
965,"172",0.001
966,"243",0.004
967,"243",0.001
968,"243",0.001
969,"243",0.001
970,"243",0.001
971,"243",0.001
972,"243",0.001
973,"14",0.001
974,"243",0.001
975,"243",0.001
976,"243",0.001
977,"243",0.001
978,"218",0.003
979,"243",0.001
980,"243",0.001
981,"243",0.001
982,"218",0.001
983,"218",0.007
984,"218",0.007
985,"172",0.002
986,"243",0.001
987,"243",0.001
988,"243",0.001
989,"218",0.001
990,"14",0.001
991,"14",0.001
992,"243",0.003
993,"218",0.001
994,"243",0.001
995,"218",0.001
996,"243",0.001
997,"243",0.003
998,"243",0.001
999,"243",0.002
1000,"243",0.001
1001,"172",0.018
1002,"14",0.001
1003,"243",0.001
1004,"218",0.001
1005,"243",0.001
1006,"218",0.003
1007,"243",0.003
1008,"218",0.001
1009,"218",0.002
1010,"218",0.001
1011,"243",0.001
1012,"172",0.002
1013,"243",0.001
1014,"243",0.007
1015,"243",0.001
1016,"218",0.001
1017,"243",0.001
1018,"243",0.001
1019,"218",0.001
1020,"243",0.001
1021,"243",0.001
1022,"243",0.005
1023,"243",0.001
1024,"218",0.008
1025,"243",0.001
1026,"243",0.001
1027,"172",0.002
1028,"243",0.001
1029,"218",0.001
1030,"14",0.001
1031,"243",0.001
1032,"14",2.479
