fid,DN,Area km2
355,"243",0.001
356,"218",0.001
357,"218",0.001
358,"243",0.001
359,"243",0.001
360,"243",0.001
361,"218",0.001
362,"243",0.003
363,"14",0.001
364,"172",0.001
365,"243",0.001
366,"243",0.001
367,"218",0.001
368,"243",0.001
369,"218",0.001
370,"243",0.006
371,"243",0.002
372,"172",0.003
373,"14",0.001
374,"14",0.001
375,"172",0.001
376,"243",0.001
377,"14",0.001
378,"243",0.004
379,"14",0.001
380,"218",0.006
381,"172",0.001
382,"243",0.001
383,"243",0.008
384,"14",0.002
385,"218",0.004
386,"172",0.004
387,"14",1.616
388,"243",0.002
389,"218",0.001
390,"172",0.001
391,"172",0.001
392,"243",0.001
393,"243",0.001
394,"243",0.002
395,"218",0.004
396,"243",0.001
397,"243",0.006
398,"243",0.001
399,"243",0.001
400,"243",0.001
401,"172",0.001
402,"243",0.001
403,"243",0.001
404,"218",0.006
405,"172",0.001
406,"243",0.001
407,"218",0.004
408,"14",0.001
409,"243",0.001
410,"243",0.001
411,"243",0.001
412,"14",0.003
413,"172",0.003
414,"243",0.001
415,"243",0.001
416,"218",0.001
417,"243",0.003
418,"14",0.001
419,"243",0.002
420,"243",0.006
421,"243",0.001
422,"14",0.001
423,"14",0.001
424,"243",0.001
425,"172",0.001
426,"243",0.001
427,"14",0.001
428,"243",0.001
429,"172",0.002
430,"243",0.003
431,"218",0.004
432,"14",0.001
433,"243",0.003
434,"243",0.002
435,"243",0.001
436,"243",0.001
437,"218",0.001
438,"243",0.001
439,"218",0.001
440,"14",0.001
441,"14",0.001
442,"243",0.001
443,"243",0.001
444,"243",0.001
445,"14",0.001
446,"14",0.001
447,"243",0.001
448,"14",0.001
449,"14",0.001
450,"243",0.001
451,"243",0.001
452,"218",0.001
453,"14",0.001
454,"14",0.002
455,"243",0.017
456,"243",0.001
457,"172",0.004
458,"218",0.013
459,"14",0.001
460,"243",0.001
461,"14",0.001
462,"243",0.005
463,"14",0.001
464,"243",0.002
465,"14",0.001
466,"243",0.001
467,"218",0.063
468,"243",0.001
469,"243",0.001
470,"218",0.001
471,"243",0.001
472,"243",0.001
473,"243",0.001
474,"243",0.001
475,"243",0.001
476,"243",0.001
477,"243",0.001
478,"218",0.001
479,"243",0.001
480,"243",0.001
481,"243",0.002
482,"243",0.001
483,"14",0.001
484,"14",0.031
485,"243",0.001
486,"14",0.001
487,"243",0.003
488,"14",0.002
489,"172",0.001
490,"218",0.011
491,"243",0.001
492,"14",0.003
493,"243",0.005
494,"243",0.001
495,"218",0.001
496,"14",0.001
497,"243",0.003
498,"243",0.001
499,"243",0.001
500,"243",0.001
501,"243",0.001
502,"14",0.003
503,"14",0.001
504,"243",0.001
505,"14",0.001
506,"243",0.001
507,"243",0.001
508,"218",0.001
509,"218",0.002
510,"243",0.001
511,"14",0.013
512,"243",0.001
513,"243",0.001
514,"243",0.001
515,"243",0.001
516,"243",0.001
517,"218",0.004
518,"218",0.001
519,"172",0.002
520,"243",0.001
521,"243",0.002
522,"218",0.001
523,"243",0.001
524,"243",0.001
525,"243",0.002
526,"243",0.001
527,"14",0.001
528,"243",0.001
529,"172",0.001
530,"243",0.001
531,"243",0.001
