fid,DN,Area km2
355,"243",0.001
356,"243",0.001
357,"218",0.001
358,"243",0.001
359,"218",0.003
360,"243",0.001
361,"218",0.002
362,"243",0.002
363,"218",0.001
364,"243",0.003
365,"243",0.001
366,"172",0.001
367,"172",0.001
368,"243",0.001
369,"243",0.001
370,"243",0.001
371,"243",0.001
372,"172",0.001
373,"243",0.001
374,"218",0.001
375,"218",0.002
376,"243",0.001
377,"172",0.024
378,"172",0.008
379,"172",0.008
380,"172",0.001
381,"243",0.002
382,"14",0.002
383,"218",0.001
384,"243",0.001
385,"243",0.001
386,"243",0.001
387,"243",0.001
388,"172",0.001
389,"243",0.001
390,"218",0.001
391,"243",0.016
392,"243",0.001
393,"218",0.001
394,"14",0.001
395,"172",0.004
396,"243",0.001
397,"172",0.001
398,"243",0.001
399,"243",0.001
400,"172",0.003
401,"218",0.003
402,"243",0.001
403,"14",0.001
404,"243",0.016
405,"14",0.001
406,"218",0.001
407,"14",0.002
408,"172",0.001
409,"243",0.001
410,"218",0.001
411,"243",0.001
412,"218",0.001
413,"172",0.004
414,"218",0.001
415,"243",0.002
416,"243",0.001
417,"172",0.001
418,"243",0.002
419,"172",0.001
420,"243",0.011
421,"172",0.001
422,"218",0.002
423,"218",0.011
424,"243",0.011
425,"243",0.001
426,"218",0.002
427,"243",0.001
428,"172",0.002
429,"172",0.002
430,"243",0.001
431,"243",0.001
432,"243",0.001
433,"172",0.001
434,"14",0.005
435,"14",0.002
436,"243",0.001
437,"14",0.001
438,"172",0.001
439,"218",0.001
440,"14",0.001
441,"172",0.001
442,"243",0.002
443,"14",0.001
444,"218",0.003
445,"14",0.001
446,"243",0.001
447,"14",0.002
448,"218",0.002
449,"218",0.001
450,"172",0.001
451,"172",0.001
452,"218",0.003
453,"243",0.001
454,"243",0.013
455,"218",0.001
456,"243",0.001
457,"218",0.001
458,"243",0.001
459,"218",0.001
460,"172",0.001
461,"218",0.004
462,"243",0.001
463,"172",0.004
464,"218",0.004
465,"243",0.001
466,"243",0.001
467,"218",0.001
468,"243",0.002
469,"172",0.003
470,"14",0.003
471,"243",0.001
472,"243",0.001
473,"218",0.001
474,"243",0.001
475,"218",0.003
476,"243",0.001
477,"243",0.001
478,"243",0.002
479,"218",0.001
480,"243",0.001
481,"218",0.001
482,"218",0.001
483,"243",0.003
484,"243",0.013
485,"14",0.001
486,"14",0.019
487,"243",0.001
488,"218",0.003
489,"243",0.001
490,"218",0.001
491,"243",0.001
492,"243",0.002
493,"243",0.001
494,"243",0.005
495,"243",0.001
496,"243",0.004
497,"218",0.004
498,"14",0.001
499,"14",0.001
