fid,DN,Area km2
355,"243",0.001
356,"243",0.001
357,"243",0.007
358,"243",0.001
359,"218",0.001
360,"218",0.001
361,"14",0.001
362,"243",0.001
363,"218",0.001
364,"243",0.001
365,"243",0.002
366,"243",0.001
367,"243",0.016
368,"243",0.001
369,"243",0.001
370,"243",0.001
371,"243",0.006
372,"218",0.001
373,"243",0.006
374,"218",0.001
375,"172",0.001
376,"243",0.001
377,"218",0.006
378,"14",0.001
379,"243",0.001
380,"218",0.001
381,"243",0.001
382,"14",0.001
383,"243",0.002
384,"218",0.001
385,"218",0.001
386,"243",0.001
387,"14",0.003
388,"243",0.001
389,"218",0.001
390,"243",0.001
391,"14",0.002
392,"14",0.001
393,"243",0.001
394,"243",0.002
395,"243",0.002
396,"172",0.001
397,"172",0.001
398,"243",0.001
399,"243",0.001
400,"218",0.011
401,"218",0.002
402,"243",0.003
403,"218",0.003
404,"243",0.001
405,"243",0.002
406,"243",0.007
407,"172",0.003
408,"243",0.001
409,"218",0.008
410,"14",0.007
411,"243",0.001
412,"243",0.001
413,"218",0.001
414,"243",0.001
415,"243",0.019
416,"172",0.082
417,"14",0.001
418,"218",0.003
419,"243",0.001
420,"243",0.001
421,"243",0.001
422,"243",0.001
423,"243",0.001
424,"172",0.001
425,"243",0.001
426,"243",0.001
427,"14",0.001
428,"243",0.001
429,"243",0.001
430,"243",0.001
431,"243",0.001
432,"218",0.002
433,"243",0.001
434,"14",0.001
435,"243",0.001
436,"218",0.004
437,"218",0.001
438,"243",0.002
439,"218",0.001
440,"243",0.001
441,"243",0.013
442,"172",0.003
443,"243",0.004
444,"243",0.001
445,"243",0.001
446,"243",0.001
447,"243",0.001
448,"14",0.001
449,"243",0.001
450,"243",0.001
451,"172",0.001
452,"243",0.001
453,"218",0.001
454,"218",0.001
455,"243",0.001
456,"243",0.009
457,"218",0.002
458,"218",0.002
459,"243",0.001
460,"243",0.002
461,"218",0.001
462,"243",0.001
463,"218",0.001
464,"243",0.002
465,"218",0.001
466,"172",0.032
467,"243",0.001
468,"218",0.001
469,"243",0.001
470,"243",0.001
471,"243",0.001
472,"243",0.006
473,"243",0.001
474,"243",0.001
475,"243",0.001
476,"218",0.001
477,"243",0.001
478,"243",0.012
479,"243",0.002
480,"243",0.002
481,"243",0.022
482,"218",0.001
483,"218",0.002
484,"243",0.001
485,"218",0.001
486,"243",0.001
487,"243",0.004
488,"218",0.006
489,"243",0.015
490,"243",0.001
491,"243",0.001
492,"243",0.002
493,"243",0.001
494,"243",0.002
495,"14",0.001
496,"243",0.001
497,"218",0.001
498,"243",0.001
499,"172",0.001
