fid,DN,Area km2
355,"243",0.001
356,"243",0.001
357,"218",0.001
358,"218",0.199
359,"243",0.004
360,"243",0.002
361,"14",0.002
362,"172",0.003
363,"243",0.004
364,"243",0.001
365,"243",0.002
366,"243",0.001
367,"243",0.001
368,"243",0.001
369,"243",0.003
370,"243",0.001
371,"243",0.001
372,"218",0.047
373,"243",0.001
374,"243",0.001
375,"243",0.001
376,"14",0.001
377,"243",0.001
378,"172",0.008
379,"243",0.001
380,"243",0.001
381,"243",0.001
382,"243",0.001
383,"14",0.001
384,"218",0.013
385,"14",0.008
386,"243",0.001
387,"218",0.014
388,"243",0.001
389,"172",0.006
390,"243",0.003
391,"243",0.001
392,"243",0.002
393,"77",0.001
394,"243",0.004
395,"243",0.002
396,"243",0.001
397,"243",0.001
398,"243",0.001
399,"243",0.001
400,"243",0.001
401,"218",0.002
402,"218",0.001
403,"218",0.001
404,"172",0.008
405,"14",0.001
406,"218",0.001
407,"243",0.001
408,"243",0.001
409,"218",0.001
410,"243",0.001
411,"243",0.001
412,"243",0.001
413,"243",0.001
414,"243",0.001
415,"243",0.001
416,"243",0.002
417,"243",0.005
418,"218",0.001
419,"172",0.001
420,"218",0.001
421,"172",0.001
422,"243",0.001
423,"243",0.001
424,"14",0.014
425,"14",0.001
426,"14",0.001
427,"218",0.001
428,"172",0.001
429,"243",0.001
430,"14",0.001
431,"243",0.001
432,"243",0.006
433,"172",0.002
434,"243",0.004
435,"243",0.002
436,"243",0.001
437,"243",0.002
438,"243",0.002
439,"243",0.004
440,"243",0.001
441,"243",0.001
442,"218",0.001
443,"243",0.001
444,"243",0.005
445,"243",0.001
446,"172",0.002
447,"243",0.001
448,"243",0.003
449,"218",0.001
450,"243",0.001
451,"243",0.001
452,"172",0.006
453,"218",0.002
454,"218",0.001
455,"14",0.001
456,"243",0.001
457,"14",0.001
458,"218",0.053
459,"218",0.002
460,"243",0.001
461,"172",0.001
462,"172",0.001
463,"243",0.004
464,"243",0.001
465,"14",0.001
466,"243",0.001
467,"243",0.003
468,"14",0.001
469,"172",0.001
470,"243",0.001
471,"243",0.001
472,"243",0.001
473,"243",0.002
474,"172",0.002
475,"218",0.001
476,"172",0.001
477,"243",0.001
478,"243",0.006
479,"243",0.001
480,"243",0.001
481,"243",0.001
482,"243",0.001
483,"172",0.001
484,"243",0.001
485,"243",0.001
486,"243",0.001
487,"14",0.001
488,"172",0.001
489,"243",0.001
490,"243",0.001
491,"218",0.001
492,"14",0.001
493,"172",0.001
494,"218",0.001
495,"172",0.001
496,"172",0.028
497,"218",0.021
498,"172",0.036
499,"243",0.003
