fid,DN,Area km2
355,"14",0.001
356,"243",0.001
357,"14",0.001
358,"243",0.001
359,"172",0.001
360,"243",0.001
361,"172",0.001
362,"243",0.001
363,"172",0.001
364,"243",0.001
365,"218",0.001
366,"14",0.001
367,"172",0.001
368,"243",0.001
369,"172",0.001
370,"243",0.001
371,"172",0.004
372,"172",0.039
373,"14",0.011
374,"172",0.003
375,"172",0.009
376,"14",0.003
377,"243",0.001
378,"14",0.001
379,"243",0.001
380,"243",0.001
381,"14",0.001
382,"172",0.007
383,"243",0.001
384,"172",0.001
385,"218",0.001
386,"243",0.001
387,"243",0.007
388,"243",0.003
389,"243",0.001
390,"243",0.001
391,"172",0.001
392,"243",0.007
393,"14",0.001
394,"243",0.002
395,"14",0.002
396,"172",0.003
397,"243",0.001
398,"243",0.002
399,"172",0.003
400,"243",0.003
401,"172",0.006
402,"172",0.001
403,"14",0.001
404,"243",0.001
405,"14",0.001
406,"243",0.001
407,"243",0.004
408,"243",0.001
409,"172",0.002
410,"172",0.001
411,"243",0.002
412,"218",0.001
413,"172",0.006
414,"243",0.005
415,"243",0.001
416,"14",0.004
417,"243",0.001
418,"14",0.001
419,"14",0.001
420,"243",0.001
421,"243",0.001
422,"243",0.002
423,"218",0.001
424,"243",0.002
425,"243",0.001
426,"172",0.002
427,"243",0.001
428,"172",0.001
429,"172",0.004
430,"218",0.001
431,"243",0.001
432,"172",0.001
433,"218",0.003
434,"243",0.001
435,"243",0.001
436,"14",0.001
437,"243",0.001
438,"243",0.001
439,"14",0.001
440,"243",0.001
441,"243",0.001
442,"243",0.002
443,"172",0.005
444,"218",0.001
445,"14",0.001
446,"243",0.001
447,"243",0.001
448,"243",0.001
449,"14",0.001
450,"218",0.165
451,"243",0.021
452,"14",0.050
453,"14",0.003
454,"172",0.031
455,"172",0.002
456,"243",0.001
457,"14",0.001
458,"243",0.003
459,"14",0.001
460,"14",0.003
461,"172",0.001
462,"243",0.002
463,"172",0.001
464,"243",0.001
465,"172",0.001
466,"218",0.001
467,"14",0.002
468,"14",0.001
469,"243",0.001
470,"14",0.001
471,"243",0.003
472,"218",0.001
473,"243",0.001
474,"243",0.002
475,"243",0.003
476,"172",0.004
477,"14",0.001
478,"14",0.001
479,"14",0.002
480,"243",0.001
481,"243",0.001
482,"14",0.001
483,"14",0.001
484,"243",0.001
485,"14",0.003
486,"243",0.005
487,"172",0.001
488,"218",0.001
489,"243",0.001
490,"14",0.003
491,"14",0.002
492,"243",0.001
493,"218",0.003
494,"218",0.001
495,"14",0.004
496,"14",0.001
497,"243",0.007
498,"243",0.001
499,"243",0.009
500,"243",0.002
501,"14",0.001
502,"172",0.001
503,"218",0.002
504,"243",0.001
505,"14",0.001
506,"14",0.001
507,"243",0.005
508,"218",0.001
509,"14",0.001
510,"218",0.001
511,"14",0.002
512,"14",0.001
513,"243",0.001
514,"218",0.001
515,"172",0.082
516,"14",0.001
517,"243",0.001
518,"172",0.001
519,"243",0.001
520,"218",0.001
521,"14",0.001
522,"243",0.001
523,"243",0.001
524,"243",0.001
525,"218",0.009
526,"14",0.001
527,"172",0.001
528,"243",0.001
529,"243",0.001
530,"243",0.001
531,"243",0.006
532,"14",0.001
533,"14",0.001
534,"14",0.001
535,"243",0.001
536,"243",0.001
537,"243",0.002
538,"243",0.001
539,"218",0.006
540,"218",0.061
541,"14",0.008
542,"243",0.021
543,"14",0.007
544,"243",0.002
545,"243",0.001
546,"243",0.003
547,"172",0.002
548,"14",0.001
549,"14",0.001
550,"14",0.004
551,"218",0.001
552,"243",0.001
553,"243",0.001
554,"243",0.001
555,"172",0.006
556,"14",0.001
557,"218",0.001
558,"243",0.001
559,"14",0.001
560,"243",0.001
561,"243",0.001
562,"243",0.003
563,"243",0.002
564,"218",0.004
565,"14",0.002
566,"243",0.005
567,"218",0.002
568,"243",0.001
569,"14",0.001
570,"243",0.002
571,"243",0.003
572,"243",0.001
573,"218",0.001
574,"243",0.018
575,"172",0.001
576,"243",0.003
577,"172",0.005
578,"172",0.001
579,"243",0.001
580,"243",0.001
581,"14",0.004
582,"218",0.001
583,"14",0.005
584,"243",0.001
585,"243",0.004
586,"172",0.001
587,"243",0.002
588,"243",0.001
589,"243",0.002
590,"172",0.001
591,"243",0.001
592,"243",0.015
593,"218",0.001
594,"243",0.001
595,"218",0.001
596,"172",0.001
597,"243",0.001
598,"243",0.001
599,"14",0.001
600,"243",0.001
601,"14",0.001
602,"243",0.001
603,"14",0.001
604,"243",0.001
605,"243",0.001
606,"218",0.001
607,"243",0.001
608,"14",0.001
609,"243",0.001
610,"243",0.001
611,"243",0.001
612,"14",0.001
613,"218",0.001
614,"172",0.001
615,"243",0.001
616,"172",1.204
617,"218",0.007
618,"243",0.001
619,"218",0.007
620,"243",0.001
621,"14",0.001
622,"243",0.001
623,"243",0.001
624,"243",0.001
625,"243",0.001
626,"243",0.001
627,"243",0.001
628,"14",0.004
629,"243",0.009
630,"243",0.001
631,"243",0.001
632,"243",0.002
633,"243",0.002
634,"243",0.001
635,"243",0.001
636,"172",0.001
637,"14",0.002
638,"172",0.003
639,"243",0.001
640,"14",0.001
641,"14",0.001
