fid,DN,Area km2
355,"243",0.001
356,"243",0.005
357,"14",0.001
358,"243",0.001
359,"172",0.001
360,"243",0.002
361,"243",0.002
362,"218",0.001
363,"172",0.002
364,"172",0.003
365,"243",0.002
366,"218",0.001
367,"218",0.002
368,"172",0.013
369,"218",0.001
370,"14",0.001
371,"172",0.001
372,"243",0.001
373,"243",0.001
374,"243",0.001
375,"218",0.001
376,"243",0.001
377,"243",0.001
378,"243",0.003
379,"243",0.006
380,"218",0.001
381,"243",0.001
382,"172",0.002
383,"243",0.002
384,"218",0.001
385,"243",0.001
386,"243",0.006
387,"14",0.001
388,"243",0.001
389,"243",0.001
390,"14",0.001
391,"243",0.001
392,"218",0.001
393,"243",0.001
394,"14",0.001
395,"243",0.001
396,"14",0.001
397,"243",0.001
398,"243",0.001
399,"243",0.002
400,"243",0.001
401,"14",0.001
402,"14",0.001
403,"243",0.001
404,"218",0.001
405,"243",0.001
406,"218",0.009
407,"243",0.001
408,"172",0.001
409,"243",0.001
410,"243",0.001
411,"243",0.001
412,"243",0.001
413,"243",0.001
414,"243",0.003
415,"243",0.001
416,"14",0.002
417,"243",0.001
418,"14",0.001
419,"243",0.001
420,"243",0.001
421,"243",0.001
422,"243",0.001
423,"243",0.001
424,"218",0.001
425,"218",0.001
426,"243",0.001
427,"243",0.001
428,"243",0.001
429,"243",0.001
430,"243",0.003
431,"14",0.001
432,"243",0.001
433,"14",0.001
434,"218",0.001
435,"243",0.001
436,"243",0.001
437,"243",0.001
438,"243",0.001
439,"14",0.001
440,"243",0.006
441,"243",0.001
442,"218",0.001
443,"243",0.001
444,"243",0.001
445,"218",0.001
446,"243",0.001
447,"172",0.001
448,"218",0.011
449,"14",0.004
450,"14",0.003
451,"243",0.002
452,"243",0.001
453,"14",0.001
454,"243",0.001
455,"14",0.001
456,"243",0.017
457,"243",0.001
458,"172",0.001
459,"243",0.001
460,"218",0.001
461,"243",0.002
462,"243",0.001
463,"243",0.001
464,"243",0.004
465,"243",0.001
466,"14",0.001
467,"243",0.001
468,"243",0.007
469,"218",0.001
470,"243",0.001
471,"243",0.001
472,"243",0.006
473,"14",0.001
474,"14",0.001
475,"14",0.001
476,"243",0.001
477,"243",0.005
478,"218",0.001
479,"243",0.001
480,"243",0.005
481,"218",0.001
482,"243",0.001
483,"14",0.001
484,"218",0.003
485,"218",0.001
486,"243",0.001
487,"172",0.006
488,"14",0.006
489,"14",0.006
490,"243",0.002
491,"243",0.001
