Site,UI,O'Neill 
ANU,-0.411539234,2.38556
Cook,0.307843649,1.872539
Corroboree Park,-0.008539533,2.612594
Garis Place,1.39763251,2.296369
Gungahlin,1.325772421,2.431183
Hackett,-1.229035332,2.022477
Higgins,0.895896786,2.56934
Lake Ginninderra,1.406180015,2.711737
Lyneam,0.506605631,2.804285
O'Connor,-0.731595913,2.310014
Telopea Park,0.991942454,2.84118
Watson,-0.172817052,2.364287
War Memorial,-0.133344554,2.569044
Yarralulma,0.568560545,2.501617
Narrabundah,1.185692518,2.439549
