Roost,Roost.size,Latitude,Longitude,Level,Distance,Position,Region,Installation.date,Installation.time.end.,Took.down.or.Solving,Species,ArtificialSurface.,Shannon.index.Artificial.Surface,General.Shannon.index,Shannon.index.water,Shannon.index.natural.terrestrial.vegetation,Latency_1stapproach,Solving.time,Latency_Solving,Mean approach duration,Approaches,Solved
Telopea Park,320,-35.316269,149.136911,2,10.6,Left,South,20230816,16/8/2023 11:50,2/9/2023 11:24,Cacatua galerita,17.47,0.30482109,1.31710336,0.21056004,0.33612151,92325,2/9/2023 11:24,1374966,307,5,1
Telopea Park,320,-35.316269,149.136911,3,10.4,Center,South,20230816,16/8/2023 11:50,17/8/2023 03:14,Cacatua galerita,17.47,0.30482109,1.31710336,0.21056004,0.33612151,NA,NA,NA,0,0,0
War Memorial,82,-35.28384,149.145197,1,12.5,Right,North,20230703,3/7/2023 13:15,13/7/2023 08:41,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374,NA,NA,NA,0,0,0
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,3/7/2023 13:15,28/8/2023 13:15,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374,1816983,NA,NA,97.52727273,55,0
Watson,151,-35.237272,149.161154,1,13.3,Center,North,20230718,18/7/2023 13:50,6/8/2023 18:35,Cacatua galerita,7.82,0.19924213,0.88846344,0.0008295,0.23426989,880837,6/8/2023 18:35,777906,265.5,1,1
Watson,151,-35.237174,149.161549,2,17.3,Right,North,20230718,18/7/2023 13:50,19/8/2023 12:32,Cacatua galerita,7.82,0.19924213,0.88846344,0.0008295,0.23426989,2758857,19/8/2023 12:32,1314,715,2,1
Watson,151,-35.237104,149.160883,3,6.5,Left,North,20230718,18/7/2023 13:50,12/9/2023 13:50,Cacatua galerita,7.82,0.19924213,0.88846344,0.0008295,0.23426989,3992840,NA,NA,24,1,0
Yarralulma,280,-35.30691,149.101011,1,12.9,Center,South,20230824,24/8/2023 11:50,30/8/2023 10:55,Cacatua galerita,5.83,0.16570515,1.17500281,0.20923071,0.29716314,513408,30/8/2023 10:55,1711,459,2,1
Yarralulma,280,-35.306828,149.100369,2,20.1,Left,South,20230824,24/8/2023 11:50,19/10/2023 11:50,Cacatua galerita,5.83,0.16570515,1.17500281,0.20923071,0.29716314,456755,NA,NA,141.8571429,7,0
Yarralulma,280,-35.307398,149.101357,3,16,Right,South,20230824,24/8/2023 11:50,1/9/2023 11:25,Cacatua galerita,5.83,0.16570515,1.17500281,0.20923071,0.29716314,101995,1/9/2023 11:25,587746,231.3333333,2,1
