Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,ArtificialSurface%,Shannon index Artificial Surface,General Shannon index,Shannon index water,Shannon index natural terrestrial vegetation
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,4,18:09:25,18:11:45,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,5,18:11:58,18:15:18,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,6,18:15:53,18:16:45,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,7,18:17:04,18:17:18,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,8,18:19:40,18:21:08,20230616,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,9,18:22:30,18:23:43,20230616,Presence,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167771,149.144915,1,NA,Left,Gungahlin,20230614,16:00,10,07:02:57,07:03:09,20230617,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,1,17:51:08,17:51:55,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,2,18:13:29,18:14:46,20230617,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,3,18:14:19,18:14:21,20230617,Presence,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,4,17:12:25,17:13:51,20230627,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,5,17:13:23,17:13:40,20230627,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,6,17:13:52,17:15:28,20230627,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,7,17:14:42,17:15:19,20230627,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,8,17:18:29,17:19:38,20230627,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,9,17:02:57,17:04:17,20230708,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,10,17:03:17,17:04:17,20230708,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,11,17:12:14,17:12:39,20230709,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.167881,149.145186,2,10.8,Center,Gungahlin,20230614,16:00,12,17:14:29,17:15:11,20230709,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.168069,149.145626,3,NA,Right,Gungahlin,20230614,16:00,1,17:32:24,17:32:47,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.168069,149.145626,3,NA,Right,Gungahlin,20230614,16:00,2,17:32:58,17:33:10,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.168069,149.145626,3,NA,Right,Gungahlin,20230614,16:00,3,17:52:03,17:52:22,20230615,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.168069,149.145626,3,NA,Right,Gungahlin,20230614,16:00,4,17:03:57,17:04:34,20230704,Attempt,NA,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Gungahlin,130,-35.168069,149.145626,3,NA,Right,Gungahlin,20230614,16:00,5,17:10:59,17:12:04,20230709,Solving,17:12:04,Cacatua galerita,26.65,0.35242034,1.40784303,0.02596884,0.34983796
Hackett,97,-35.252048,149.161005,1,9.5,Left,North,20230718,11:45,1,11:04:26,11:06:40,20230720,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.252048,149.161005,1,9.5,Left,North,20230718,11:45,2,11:07:27,11:10:42,20230720,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.252048,149.161005,1,9.5,Left,North,20230718,11:45,3,11:10:54,11:12:33,20230720,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.252048,149.161005,1,9.5,Left,North,20230718,11:45,4,11:12:54,11:17:08,20230720,Solving,11:16:03,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,1,14:40:11,14:41:05,20230824,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,2,18:29:31,18:30:35,20230826,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,3,18:04:40,18:06:04,20230828,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,4,18:07:36,18:14:35,20230828,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,5,18:16:24,18:17:00,20230828,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,6,18:18:16,18:18:48,20230828,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Hackett,97,-35.251075,149.162724,3,10.1,Right,North,20230718,11:45,7,18:18:35,18:19:17,20230828,Attempt,NA,Cacatua galerita,2.41,0.08980788,0.48345312,0.00219608,0.10899906
Lyneam,41,-35.25562,149.128381,1,13,Right,North,20230624,14:00,1,12:30:36,12:41:34,20230627,Solving,12:30:58,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,1,12:25:50,12:26:16,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,2,12:34:31,12:35:08,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,3,12:35:09,12:38:04,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,4,12:36:35,12:39:20,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,5,12:39:42,12:40:03,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,6,12:40:54,12:42:16,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,7,12:42:43,12:46:06,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,8,12:46:31,12:51:12,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,9,12:53:02,12:54:05,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,10,12:54:23,12:58:45,20230706,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,11,17:56:57,17:57:59,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,12,17:58:54,17:59:23,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,13,18:00:10,18:01:37,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,14,18:02:19,18:02:46,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,15,18:03:57,18:05:06,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,16,11:09:43,11:10:43,20230712,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,17,11:10:58,11:16:16,20230712,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,18,11:11:52,11:14:50,20230712,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,2,9.5,Left,North,20230624,14:00,19,11:16:33,11:46:14,20230712,Solving,11:19:33,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,1,10:29:54,10:30:44,20230630,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,2,10:34:50,10:35:46,20230630,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,3,10:37:49,10:38:42,20230630,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,4,13:00:07,13:00:35,20230630,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,5,14:31:28,14:32:44,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,6,14:42:17,14:49:27,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,7,14:45:18,14:54:38,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,8,14:55:19,14:58:18,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,9,14:57:10,15:03:49,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,10,15:00:12,15:07:03,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,11,15:04:25,15:14:38,20230703,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,12,11:16:17,11:17:18,20230707,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,13,11:19:01,11:19:59,20230707,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,14,15:00:00,15:00:51,20230709,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,15,18:06:09,18:07:24,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,16,18:09:45,18:13:47,20230710,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,17,12:39:14,12:40:43,20230712,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,18,12:40:42,12:56:20,20230712,Solving,12:53:55,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,19,12:49:54,12:49:56,20230712,Presence,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
Lyneam,41,-35.254317,149.127706,3,,Center,North,20230624,14:00,20,12:51:11,12:52:36,20230712,Attempt,NA,Cacatua galerita,11.98,0.25420794,0.95522097,0.00460151,0.25735448
O'Connor,165,-35.258916,149.113906,2,10.3,Left,North,20230624,17:00,1,06:15:53,06:15:54,20230729,Presence,NA,Cacatua galerita,3.68,0.12157582,0.58440242,0.00459585,0.13892644
O'Connor,165,-35.258916,149.113906,2,10.3,Left,North,20230624,17:00,2,18:25:19,18:25:35,20230808,Attempt,NA,Cacatua galerita,3.68,0.12157582,0.58440242,0.00459585,0.13892644
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,1,13:58:03,13:58:42,20230724,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,2,13:59:29,14:01:35,20230724,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,3,14:02:32,14:03:28,20230724,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,4,17:35:00,17:39:20,20230728,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,5,17:36:21,17:37:39,20230728,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,6,17:39:30,17:40:16,20230728,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,7,11:41:53,11:45:08,20230801,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,8,11:32:19,11:33:32,20230802,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,9,11:34:50,11:36:57,20230802,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,10,11:43:22,11:44:50,20230802,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,11,11:49:37,11:50:14,20230802,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,12,18:31:20,18:35:47,20230803,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,13,18:36:20,18:37:09,20230803,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,14,18:38:42,18:38:59,20230803,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
War Memorial,82,-35.28384,149.145197,2,9.7,Left,North,20230703,13:15,15,10:33:23,10:33:34,20230804,Attempt,NA,Cacatua galerita,10.65,0.23857517,0.93820228,0.10175013,0.23199374
