"Roost","LEVEL","Position","COMPLETE.DATA","X1st.APPROACH.date","X1st.APPROACH.time","X1st.APPROACH.latency","END.POINT.1st.approach","END.POINT.1st.approach.time","FATE.1st.approach","SOLVING.date","SOLVING.time","SOLVING.latency.1","SOLVING.latency.2","END.POINT.solving","END.POINT.solving.time","FATE.solving","SOLVED","SOLVED.SCC","APPROACHED.SCC","INSTALLATION.DATE.END","INSTALLATION.TIME.END","UI","O.Neill","Roost.size","Degree","WTDegree","COMMENTS","total_approaches","was_solved","approaches_before_solve","n_approaches_total","total_engagement_time_all","n_approaches_to_solve","total_engagement_time_to_solve","mean_approach_duration"
"Lyneam",3,"C",1,20230630,"10:30:44","505794",20230712,NA,"Took box down",20230712,"12:53:55",1045441,1551235,20230712,"12:53:55","Took box down",1,1,1,20230624,"14:00:00",0.506605631,2.804285,41,2,6.515192296,NA,20,TRUE,19,20,74.2666666666667,18,72.8166666666667,3.71333333333333
"Narrabundah",1,"C",1,20230829,"18:51:18","19823",20230911,NA,"Took box down",20230909,"18:26:09",948946,968769,20230909,"18:26:09","Took box down",1,1,1,20230829,"15:30:00",1.185692518,2.439549,270,1,5.910945981,NA,17,TRUE,16,17,13.0166666666667,17,13.0166666666667,0.765686274509804
"Narrabundah",2,"L",1,20230902,"18:44:09","364866",20231024,NA,"Took box down",NA,NA,NA,NA,20231024,"15:30:00","Took box down",0,0,1,20230829,"15:30:00",1.185692518,2.439549,270,1,5.910945981,"Unsolved",5,FALSE,NA,5,10.0666666666667,5,10.0666666666667,2.01333333333333
"Narrabundah",3,"R",1,20230906,"18:47:39","710435",20230911,NA,"Took box down",20230908,"19:15:17",174882,885317,20230908,"19:15:17","Took box down",1,1,1,20230829,"15:30:00",1.185692518,2.439549,270,1,5.910945981,NA,6,TRUE,5,6,36.7666666666667,6,36.7666666666667,6.12777777777778
"O'Connor",1,"C",0,NA,NA,NA,20230624,"17:01:00","No data",NA,NA,NA,NA,20230624,"17:01:00","Camera failure",1,0,0,20230624,"17:00:00",-0.731595913,2.310014,165,2,6.577316901,"NO data at all: camera failure + found solved",NA,NA,NA,0,0,0,0,NA
"O'Connor",2,"L",1,20230729,"06:15:54","2985353",20230819,NA,"Took box down",NA,NA,NA,NA,20230819,"17:00:00","Took box down",0,0,1,20230624,"17:00:00",-0.731595913,2.310014,165,2,6.577316901,"Unsolved",2,FALSE,NA,2,0.283333333333333,2,0.283333333333333,0.141666666666667
"O'Connor",3,"R",0,20230731,"11:50:06","To compute",20230802,NA,"Took box down",20230726,"02:10:30",NA,NA,20230726,"02:10:30","Solved others",1,0,1,20230624,"17:00:00",-0.731595913,2.310014,165,2,6.577316901,"Solved by possum",NA,NA,NA,0,0,0,0,NA
"Telopea Park",1,"R",1,NA,NA,NA,20230823,"12:56:00","Never approached",20230817,"10:57:48",NA,NA,20230817,"10:57:48","Solved others",1,0,0,20230816,"11:50:00",0.991942454,2.84118,320,1,6.236323888,"Solved by magpie",NA,NA,NA,0,0,0,0,NA
"Telopea Park",2,"L",1,20230817,"13:29:49","92325",20230905,NA,"Took box down",20230902,"11:24:51",1374966,1467291,20230902,"11:24:51","Took box down",1,1,1,20230816,"11:50:00",0.991942454,2.84118,320,1,6.236323888,NA,6,TRUE,5,6,30.7,6,30.7,5.11666666666667
"Telopea Park",3,"C",1,20230820,"11:07:05","To compute",20230823,NA,"Took box down",20230817,"03:14:25",NA,NA,20230817,"03:14:25","Solved others",1,0,1,20230816,"11:50:00",0.991942454,2.84118,320,1,6.236323888,"Solved by possum",NA,NA,NA,0,0,0,0,NA
"War Memorial",1,"L",1,20230803,"10:55:00","To compute",20230809,NA,"Took box down",20230713,"08:41:01",NA,NA,20230713,"08:41:01","Solved others",1,0,1,20230703,"13:15:00",-0.133344554,2.569044,82,1,6.32937121,"Solved by currawong",NA,NA,NA,0,0,0,0,NA
"War Memorial",2,"C",1,20230724,"13:58:42","1816983",20230911,NA,"Took box down",NA,NA,NA,NA,20230911,"13:15:00","Took box down",0,0,1,20230703,"13:15:00",-0.133344554,2.569044,82,1,6.32937121,"Unsolved",55,FALSE,NA,55,89.4,55,89.4,1.62545454545455
"War Memorial",3,"R",0,NA,NA,NA,20230703,"13:16:00","No data",NA,NA,NA,NA,20230703,"13:16:00","Camera failure",1,0,0,20230703,"13:15:00",-0.133344554,2.569044,82,1,6.32937121,"NO data at all: camera failure + found solved",NA,NA,NA,0,0,0,0,NA
"Watson",1,"C",1,20230728,"18:30:50","880837",20230809,NA,"Took box down",20230806,"18:35:43",777906,1658743,20230806,"18:35:43","Took box down",1,1,1,20230718,"13:50:00",-0.172817052,2.364287,151,1,5.914110474,NA,2,TRUE,1,2,8.85,2,8.85,4.425
"Watson",2,"R",1,20230819,"12:14:40","2758857",20230911,NA,"Took box down",20230819,"12:31:51",1314,2760171,20230819,"12:31:51","Took box down",1,1,1,20230718,"13:50:00",-0.172817052,2.364287,151,1,5.914110474,NA,3,TRUE,2,3,35.75,3,35.75,11.9166666666667
"Watson",3,"L",1,20230902,"18:57:44","3992840",20230906,NA,"Took box down",NA,NA,NA,NA,20230906,"13:50:00","Took box down",0,0,1,20230718,"13:50:00",-0.172817052,2.364287,151,1,5.914110474,"Unsolved",1,FALSE,NA,1,0.4,1,0.4,0.4
"Yarralulma",1,"C",1,20230830,"10:27:36","513408",20230905,NA,"Took box down",20230830,"10:55:19",1711,515119,20230830,"10:55:19","Took box down",1,1,1,20230824,"11:50:00",0.568560545,2.501617,280,0,6.465820187,NA,3,TRUE,2,3,22.95,3,22.95,7.65
"Yarralulma",2,"L",1,20230825,"16:10:38","456755",20231019,NA,"Took box down",NA,NA,NA,NA,20231019,"11:50:00","Took box down",0,0,1,20230824,"11:50:00",0.568560545,2.501617,280,0,6.465820187,"Unsolved",7,FALSE,NA,7,16.55,7,16.55,2.36428571428571
"Yarralulma",3,"R",1,20230829,"18:44:04","101995",20230905,NA,"Took box down",20230901,"11:25:41",587746,689741,20230901,"11:25:41","Took box down",1,1,1,20230824,"11:50:00",0.568560545,2.501617,280,0,6.465820187,NA,3,TRUE,2,3,11.5666666666667,3,11.5666666666667,3.85555555555556
