ROOST,DEGREE,WTDEGREE
GARIS PLACE,0,4.773966213
GUNGAHLIN,1,4.822126641
HIGGINS,1,5.301971629
NARRABUNDAH,1,5.910945981
WATSON,1,5.914110474
HACKETT,1,6.048765872
LAKE GINNINDERRA,0,6.088391055
TELOPEA PARK,1,6.236323888
COOK,0,6.316196815
WAR MEMORIAL,1,6.32937121
CORROBOREE,2,6.432966534
YARRALULMA,0,6.465820187
LYNEHAM,2,6.515192296
O'CONNOR,2,6.577316901
ANU,1,6.618922645
