Roost,Roost size,Latitude,Longitude,Level,Distance ,Position,Region,Installation date,Installation time(end),Approach n,Approach start,Approach end,Approach date,Approach type,Solving time,Species,Roost of origin,Video reference,Notes
ANU,287,-35.278567,149.113898,2,22.9,Left,North,20230629,16:50,3,06:42:41,06:44:10,20230705,Solving,06:43:22,Petaurus spp.,,ANU/Level2/SOLVEDLev2,
ANU,287,-35.278567,149.113898,2,22.9,Left,North,20230629,16:50,4,06:47:23,06:51:04,20230706,Post attempt,NA,Petaurus spp.,,ANU/Level2/0054 to 55,
ANU,287,-35.278567,149.113898,2,22.9,Left,North,20230629,16:50,5,01:30:54,01:32:01,20230707,Presence,NA,Petaurus spp.,,ANU/Level2/0067,
ANU,287,-35.278567,149.113898,2,22.9,Left,North,20230629,16:50,1,06:28:51,06:28:53,20230711,Post presence,NA,Cacatua galerita,,ANU/Level2/00192,
ANU,287,-35.278567,149.113898,2,22.9,Left,North,20230629,16:50,6,07:07:09,07:08:27,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level2/00193,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,1,05:57:30,05:59:30,20230630,Attempt,NA,Petaurus spp.,,ANU/Level3/0034,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,2,02:45:49,02:47:17,20230701,Solving,02:45:54,Petaurus spp.,,ANU/Level3/00129,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,3,02:54:45,02:54:51,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level3/00130,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,4,02:55:16,02:59:59,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level3/00131,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,5,03:00:20,03:00:28,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level3/00131,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,6,05:28:32,05:39:42,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level3/00132 to 136,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,7,22:52:52,23:42:09,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level3/00202 to 213,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,8,23:42:21,23:42:32,20230701,Post attempt,NA,Petaurus spp.,,ANU/Level3/00213,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,9,01:23:52,02:14:23,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level3/00214 to 227,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,10,05:56:53,06:03:02,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level3/00228 to 231,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,11,06:04:30,06:11:25,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level3/00232 to 236,
ANU,287,-35.277878,149.114032,3,9.5,Center,North,20230629,16:50,12,06:11:41,06:12:44,20230702,Post attempt,NA,Petaurus spp.,,ANU/Level3/00236,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,1,NA,NA,NA,Attempt,NA,Manorina chiassosa,,Cook/Level2/100BMCIM/IMG0013,"Arrives 2.18 m video, leaves at 2.28 (length IMG00XX videos 3 minutes)"
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,1,15:01:36,16:24:30,20230707,Solving,03:02:00,Platycercus elegans,,Cook/Level2/250723/001 to 30,"Not continuesly, but it was part of the same attempt"
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,2,07:11:56,07:13:13,20230707,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00108 to 109,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,3,07:12:59,07:13:45,20230707,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00109 ,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,1,07:15:02,07:19:25,20230708,Post attempt,NA,Cacatua galerita,,Cook/Level2/250723/00110 to 112,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,2,07:15:55,07:17:26,20230708,Post attempt,NA,Cacatua galerita,,Cook/Level2/250723/00110 to 111,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,4,07:22:26,07:26:01,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00113 to 115,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,5,07:23:25,07:25:41,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00113 to 115,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,6,07:33:27,07:43:02,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00116 to 120,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,7,07:43:29,07:43:59,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00121,
Cook,,-35.266798,149.069337,2,7.6,Center,Belconnen,20230624,10:30,8,08:11:31,08:14:06,20230708,Post attempt,NA,Platycercus elegans,,Cook/Level2/250723/00122 to 123,
