Site,UI,O'Neill 
ANU,-0.411539234,2.38556
CK,0.307843649,1.872539
CP,-0.008539533,2.612594
GPM,1.39763251,2.296369
GU,1.325772421,2.431183
HA,-1.229035332,2.022477
HIG,0.895896786,2.56934
LG,1.406180015,2.711737
LY,0.506605631,2.804285
OC,-0.731595913,2.310014
TP,0.991942454,2.84118
WA,-0.172817052,2.364287
WM,-0.133344554,2.569044
YA,0.568560545,2.501617
NAR,1.185692518,2.439549
